x,y,z,leftButton,rightButton,lightSensor,soundSensor,tempSensor
null
0.19,1.98,11.11,0.0,0.0,378.0,216.0,83.09
0.43,0.95,10.76,0.0,0.0,374.0,349.0,83.09
1.05,0.09,9.81,0.0,0.0,374.0,424.0,83.09
0.9,0.62,9.72,0.0,0.0,370.0,308.0,83.09
1.01,-0.11,10.48,0.0,0.0,365.0,355.0,83.09
1.04,0.03,10.34,0.0,0.0,363.0,324.0,83.09
0.92,0.49,9.97,0.0,0.0,361.0,308.0,83.09
0.75,0.7,9.95,0.0,0.0,358.0,328.0,83.09
0.44,0.7,9.98,0.0,0.0,357.0,331.0,83.09
0.84,-0.54,10.42,0.0,0.0,348.0,361.0,83.09
1.07,-0.71,10.13,0.0,0.0,348.0,337.0,83.09
0.8,-0.34,9.98,0.0,0.0,349.0,328.0,83.09
0.72,0.14,9.74,0.0,0.0,344.0,357.0,83.09
0.72,-0.31,9.6,0.0,0.0,345.0,337.0,83.09
1.05,-0.37,9.95,0.0,0.0,346.0,342.0,83.09
0.81,-0.51,10.23,0.0,0.0,344.0,691.0,83.09
0.71,-0.19,9.48,0.0,0.0,344.0,469.0,83.09
0.57,0.11,9.87,0.0,0.0,346.0,381.0,83.09
0.98,-0.1,9.42,0.0,0.0,345.0,431.0,83.09
0.94,0.13,9.65,0.0,0.0,344.0,401.0,83.09
0.87,0.16,10.2,0.0,0.0,345.0,399.0,83.09
0.71,-0.14,10.23,0.0,0.0,346.0,345.0,83.09
0.76,0.04,9.63,0.0,0.0,344.0,350.0,83.09
0.66,0.22,9.77,0.0,0.0,345.0,360.0,83.09
0.82,-0.1,9.78,0.0,0.0,347.0,372.0,83.09
1.07,-0.53,10.01,0.0,0.0,345.0,274.0,83.09
0.86,-0.41,10.15,0.0,0.0,344.0,248.0,83.09
1.02,0.13,10.12,0.0,0.0,345.0,286.0,83.09
1.37,0.02,9.67,0.0,0.0,342.0,357.0,83.09
1.17,-0.25,9.07,0.0,0.0,341.0,401.0,83.09
1.64,0.43,9.02,0.0,0.0,350.0,311.0,83.09
1.45,0.8,9.92,0.0,0.0,352.0,242.0,83.09
0.93,1.12,9.83,0.0,0.0,347.0,157.0,83.09
1.07,0.68,10.06,0.0,0.0,340.0,318.0,83.09
0.98,0.37,10.02,0.0,0.0,339.0,238.0,83.09
1.04,-0.19,10.0,0.0,0.0,338.0,334.0,83.09
0.9,0.75,9.55,0.0,0.0,340.0,306.0,83.09
1.12,0.93,9.85,0.0,0.0,344.0,446.0,83.09
1.02,1.31,9.43,0.0,0.0,349.0,464.0,83.09
1.02,0.79,10.22,0.0,0.0,353.0,390.0,83.09
1.01,1.46,9.78,0.0,0.0,357.0,339.0,83.09
1.02,1.51,10.15,0.0,0.0,360.0,333.0,83.09
1.12,1.67,10.38,0.0,0.0,364.0,491.0,83.09
1.17,1.48,10.02,0.0,0.0,366.0,264.0,83.09
1.07,1.55,9.61,0.0,0.0,268.0,413.0,83.09
1.16,1.36,9.19,0.0,0.0,269.0,215.0,83.09
1.04,1.03,9.32,0.0,0.0,370.0,413.0,83.09
1.39,1.67,9.93,0.0,0.0,371.0,317.0,83.09
1.54,1.99,9.93,0.0,0.0,364.0,271.0,83.09
1.48,1.64,10.13,0.0,0.0,323.0,389.0,83.09
1.35,0.76,9.63,0.0,0.0,375.0,295.0,83.09
1.25,1.13,9.9,0.0,0.0,374.0,358.0,83.09
1.3,1.4,10.18,0.0,0.0,375.0,277.0,83.09
0.82,1.04,9.75,0.0,0.0,378.0,272.0,83.09
0.82,0.65,9.27,0.0,0.0,376.0,347.0,83.09
1.33,0.02,8.96,0.0,0.0,376.0,397.0,83.09
1.48,1.48,10.65,0.0,0.0,380.0,439.0,83.09
1.05,1.74,10.93,0.0,0.0,378.0,334.0,83.09
0.91,1.33,10.26,0.0,0.0,376.0,290.0,83.09
1.33,0.09,9.1,0.0,0.0,378.0,328.0,83.09
1.37,0.07,9.47,0.0,0.0,379.0,322.0,83.09
1.24,0.71,9.98,0.0,0.0,377.0,358.0,83.09
1.3,0.96,10.29,0.0,0.0,375.0,325.0,83.09
1.29,-0.06,9.08,0.0,0.0,378.0,263.0,83.09
1.36,-0.02,9.06,0.0,0.0,376.0,420.0,83.09
1.34,0.34,9.63,0.0,0.0,374.0,313.0,83.09
1.17,1.0,10.61,0.0,0.0,372.0,353.0,83.09
1.09,0.76,10.52,0.0,0.0,351.0,437.0,83.09
1.12,0.47,9.76,0.0,0.0,326.0,443.0,83.09
1.06,-0.06,9.79,0.0,0.0,296.0,271.0,83.09
1.43,0.25,9.4,0.0,0.0,285.0,387.0,83.09
1.42,0.28,9.61,0.0,0.0,303.0,411.0,83.09
1.25,0.33,9.9,0.0,0.0,369.0,260.0,83.09
1.31,0.29,9.72,0.0,0.0,370.0,423.0,83.09
1.35,0.39,9.66,0.0,0.0,362.0,385.0,83.09
1.2,0.53,9.73,0.0,0.0,339.0,350.0,83.09
1.47,-0.09,9.94,0.0,0.0,367.0,292.0,83.09
1.32,-0.03,10.18,0.0,0.0,371.0,296.0,83.09
1.1,0.4,9.13,0.0,0.0,370.0,355.0,83.09
1.15,0.19,9.28,0.0,0.0,367.0,332.0,83.09
1.51,-0.18,9.44,0.0,0.0,368.0,335.0,83.09
1.32,0.43,10.01,0.0,0.0,367.0,361.0,83.09
1.18,0.52,9.79,0.0,0.0,362.0,337.0,83.09
1.25,0.51,9.65,0.0,0.0,358.0,355.0,83.09
1.48,0.3,9.96,0.0,0.0,304.0,316.0,83.09
0.98,0.48,10.13,0.0,0.0,324.0,348.0,83.09
0.97,0.24,10.12,0.0,0.0,324.0,329.0,83.09
1.11,-0.27,9.87,0.0,0.0,319.0,367.0,83.09
1.23,-0.35,9.68,0.0,0.0,316.0,333.0,83.09
1.02,-0.34,9.81,0.0,0.0,309.0,311.0,83.09
1.22,-0.5,10.08,0.0,0.0,289.0,314.0,83.09
1.26,-0.31,9.98,0.0,0.0,167.0,345.0,83.09
1.28,-0.52,9.85,0.0,0.0,144.0,338.0,83.09
1.28,-0.7,9.72,0.0,0.0,52.0,322.0,83.28
1.32,-0.78,9.45,0.0,0.0,38.0,400.0,83.09
1.24,-0.29,9.57,0.0,0.0,20.0,305.0,83.28
1.35,-0.56,9.53,0.0,0.0,18.0,325.0,83.28
1.1,-0.46,10.17,0.0,0.0,9.0,324.0,83.28
1.07,-0.34,9.81,0.0,0.0,7.0,341.0,83.28
1.0,-0.69,9.7,0.0,0.0,5.0,343.0,83.28
0.7,-1.11,10.0,0.0,0.0,3.0,334.0,83.28
